TRAFFIC SIGNAL INVENTORY NO,OWNER,PRIMARY STREET NAME,SECONDARY STREET NAME,LATITUDE,LONGITUDE,GeoLocation
C-193,CITY,CORPORATE BLVD,CITIPLACE CT,30.42509,-91.12998,"(30.42509, -91.12998)"
C-196,CITY,PICARDY AVE,DIJON DR,30.40105,-91.11296,"(30.40105, -91.11296)"
C-197,CITY,MAIN ST,SACRED HEART,30.45208,-91.16543,"(30.45208, -91.16543)"
C-198,CITY,HARRELL'S FERRY RD,MILLERVILLE RD,30.42992,-91.02448,"(30.42992, -91.02448)"
C-199,CITY,SOUTH BLVD,EAST BLVD,30.43973,-91.1802,"(30.43973, -91.1802)"
C-200,CITY,PICARDY AVE,SUMMA AVE,30.3924,-91.09304,"(30.3924, -91.09304)"
C-201,CITY,N MALL DR,COURTYARD MARRIOT,30.37929,-91.06552,"(30.37929, -91.06552)"
C-202,CITY,CHOCTAW DR,OAK VILLA BLVD,30.47158,-91.08908,"(30.47158, -91.08908)"
C-203,CITY,TOM  DR,AIRWAY DR,30.46813,-91.09872,"(30.46813, -91.09872)"
C-204,CITY,HARRELL'S FERRY RD,JONES CREEK RD,30.42678,-91.01433,"(30.42678, -91.01433)"
C-205,CITY,JOOR RD,DENHAM RD,30.58224,-91.04615,"(30.58224, -91.04615)"
C-207,CITY,JONES CREEK RD,FERRELL AVE,30.40267,-91.01673,"(30.40267, -91.01673)"
C-208,CITY,STANFORD AVE,W LAKESHORE DR / LSU AVE,30.40669,-91.16499,"(30.40669, -91.16499)"
C-209,CITY,LEE DR,BOONE DR,30.39832,-91.15565,"(30.39832, -91.15565)"
C-210,CITY,MILLERVILLE RD,AVALON AVE,30.44675,-91.02448,"(30.44675, -91.02448)"
C-211,CITY,FOSTER DR,GREENWELL SPRINGS RD / GUS YOUNG AVE,30.46229,-91.13953,"(30.46229, -91.13953)"
C-212,CITY,FOSTER DR,NORTH ST,30.45394,-91.13913,"(30.45394, -91.13913)"
C-213,CITY,FOSTER DR,NORTH BLVD,30.4487,-91.13888,"(30.4487, -91.13888)"
C-214,CITY,GREENWELL SPRINGS RD,ARDENWOOD AVE,30.46752,-91.13019,"(30.46752, -91.13019)"
